INST;Best *;VNS_red dist best;VNS_red Gap Best;VNS_red dist avg;VNS_red Gap Avg;VNS_red T;VNS_red TC;VNS_full dist best;VNS_full Gap Best;VNS_full dist avg;VNS_full Gap Avg;VNS_full T;VNS_full TC;IG dist best;IG Gap Best;IG dist avg;IG Gap Avg;IG dist_std;IG T;IG T_std
C101_C5x;385.49;385.49;0.00%;385.49;0.00%;0.989;0.4;385.49;0.00%;385.49;0.00%;12.51;5.00;385.491;0.00%;385.491;0.00%;0.00;0.22;0.01
C103_C5x;341.33;341.33;0.00%;341.33;0.00%;0.006;0;341.33;0.00%;341.33;0.00%;0.50;0.20;341.334;0.00%;341.334;0.00%;0.00;0.21;0.01
C206_C5x;417.31;417.31;0.00%;417.31;0.00%;0.001;0;417.31;0.00%;417.31;0.00%;0.00;0.00;417.307;0.00%;417.307;0.00%;0.00;0.26;0.00
C208_C5x;381.91;381.91;0.00%;381.91;0.00%;0.001;0;381.91;0.00%;381.91;0.00%;0.00;0.00;381.913;0.00%;381.913;0.00%;0.00;0.29;0.00
R104_C5x;317.02;317.02;0.00%;317.02;0.00%;0.001;0;317.02;0.00%;317.02;0.00%;0.00;0.00;317.021;0.00%;317.021;0.00%;0.00;0.28;0.01
R105_C5x;453.74;453.74;0.00%;495.16;9.13%;0;0;453.74;0.00%;453.74;0.00%;29.69;11.88;453.739;0.00%;453.739;0.00%;0.00;0.35;0.01
R202_C5x;347.82;347.82;0.00%;347.82;0.00%;0.001;0;347.82;0.00%;347.82;0.00%;0.00;0.00;347.817;0.00%;347.944;0.04%;0.25;0.26;0.01
R203_C5x;371.31;386.48;4.09%;386.48;4.09%;0.001;0;371.31;0.00%;371.31;0.00%;7.20;2.88;371.306;0.00%;371.306;0.00%;0.00;0.25;0.00
RC105_C5x;432.64;432.64;0.00%;435.77;0.72%;0.404;0.2;432.64;0.00%;437.34;1.09%;21.49;8.60;432.635;0.00%;432.635;0.00%;0.00;0.21;0.00
RC108_C5x;460.89;460.89;0.00%;460.89;0.00%;0.008;0;460.89;0.00%;460.89;0.00%;3.28;1.31;460.892;0.00%;512.163;11.12%;34.96;0.22;0.01
RC204_C5x;332.86;332.86;0.00%;332.86;0.00%;0.018;0;332.86;0.00%;332.86;0.00%;0.02;0.01;334.900;0.61%;334.900;0.61%;0.00;0.22;0.00
RC208_C5x;327.30;331.77;1.37%;331.77;1.37%;0;0;327.30;0.00%;327.30;0.00%;15.19;6.08;327.295;0.00%;327.295;0.00%;0.00;0.34;0.01
Avg;380.80;382.44;0.43%;386.15;1.41%;0.12;0.05;380.80;0.00%;381.19;0.10%;7.49;3.00;380.971;0.04%;385.254;1.17%;;0.26
C101_C10x;538.31;538.31;0.00%;538.74;0.08%;0.57;0.2;538.31;0.00%;538.31;0.00%;13.23;5.29;539.726;0.26%;539.726;0.26%;0.00;0.87;0.08
C104_C10x;484.32;484.32;0.00%;484.32;0.00%;0.98;0.4;484.32;0.00%;484.32;0.00%;7.12;2.85;484.319;0.00%;484.319;0.00%;0.00;0.88;0.05
C202_C10x;425.53;425.53;0.00%;425.53;0.00%;0.03;0;425.53;0.00%;425.53;0.00%;2.02;0.81;425.532;0.00%;431.644;1.44%;4.00;0.74;0.03
C205_C10x;415.48;415.48;0.00%;419.64;1.00%;0.01;0;415.48;0.00%;415.48;0.00%;1.01;0.40;415.475;0.00%;416.043;0.14%;0.19;0.80;0.03
R102_C10x;505.50;505.50;0.00%;505.50;0.00%;2.48;1;505.50;0.00%;524.59;3.78%;22.56;9.02;505.498;0.00%;505.498;0.00%;0.00;0.73;0.03
R103_C10x;436.08;436.08;0.00%;436.08;0.00%;2.4;1;436.08;0.00%;437.51;0.33%;3.60;1.44;436.075;0.00%;436.075;0.00%;0.00;0.68;0.02
R201_C10x;460.71;460.71;0.00%;460.71;0.00%;2.84;1.1;460.71;0.00%;460.71;0.00%;16.46;6.58;460.712;0.00%;467.499;1.47%;6.38;1.05;0.15
R203_C10x;436.51;436.51;0.00%;436.51;0.00%;0;0;436.51;0.00%;436.51;0.00%;0.00;0.00;436.752;0.06%;446.000;2.17%;3.08;1.28;0.05
RC102_C10x;618.75;618.75;0.00%;618.75;0.00%;41.62;16.6;618.75;0.00%;618.75;0.00%;11.03;4.41;618.745;0.00%;624.672;0.96%;1.98;0.74;0.03
RC108_C10x;559.88;559.88;0.00%;559.88;0.00%;0.1;0;559.88;0.00%;559.88;0.00%;0.02;0.01;559.883;0.00%;559.933;0.01%;0.15;0.59;0.04
RC201_C10x;495.54;495.54;0.00%;497.04;0.30%;0;0;495.54;0.00%;495.54;0.00%;2.53;1.01;495.866;0.07%;495.866;0.07%;0.00;1.35;0.06
RC205_C10x;576.17;576.17;0.00%;577.76;0.28%;0.13;0.1;576.17;0.00%;576.17;0.00%;15.37;6.15;576.165;0.00%;576.774;0.11%;0.20;1.19;0.06
Avg;496.06;496.07;0.00%;496.71;0.13%;4.26;1.7;496.07;0.00%;497.78;0.35%;7.91;3.16;496.229;0.03%;498.671;0.53%;;0.91
C103_C15x;575.18;575.18;0.00%;582.02;1.19%;4.9;2;575.18;0.00%;575.18;0.00%;0.62;0.25;579.335;0.72%;583.192;1.39%;3.16;2.26;0.20
C106_C15x;516.60;516.60;0.00%;524.10;1.45%;2.1;0.8;516.60;0.00%;516.60;0.00%;1.03;0.41;516.603;0.00%;517.815;0.24%;1.85;1.91;0.31
C202_C15x;550.32;617.24;12.16%;618.66;12.42%;30;12;550.32;0.00%;550.32;0.00%;12.45;4.98;555.418;0.93%;562.123;2.14%;11.12;1.23;0.37
C208_C15x;550.02;619.73;12.67%;619.73;12.67%;7;2.8;550.02;0.00%;550.02;0.00%;22.00;8.80;550.016;0.00%;564.457;2.63%;20.88;1.52;0.58
R102_C15x;703.94;716.56;1.79%;716.56;1.79%;9.5;3.8;716.56;1.79%;716.56;1.79%;12.06;4.82;703.937;0.00%;710.683;0.96%;5.19;0.84;0.07
R105_C15x;607.96;607.96;0.00%;607.96;0.00%;30.9;12.3;607.96;0.00%;607.96;0.00%;25.61;10.24;607.968;0.00%;611.194;0.53%;2.62;0.27;0.02
R202_C15x;593.69;593.69;0.00%;597.79;0.69%;8;3.2;593.69;0.00%;593.69;0.00%;60.99;24.40;593.708;0.00%;593.717;0.00%;0.01;0.58;0.03
R209_C15x;475.10;475.10;0.00%;519.46;9.34%;0.7;0.3;475.10;0.00%;482.30;1.52%;77.39;30.95;475.099;0.00%;493.451;3.86%;26.30;0.77;0.18
RC103_C15x;616.32;616.32;0.00%;622.10;0.94%;1.6;0.6;616.32;0.00%;616.32;0.00%;1.80;0.72;616.323;0.00%;618.754;0.39%;1.41;1.07;0.29
RC108_C15x;603.87;603.87;0.00%;603.87;0.00%;0.2;0.1;603.87;0.00%;615.11;1.86%;0.33;0.13;609.276;0.90%;613.121;1.53%;3.28;1.58;0.09
RC202_C15x;552.70;601.86;8.89%;601.86;8.89%;2.4;1;552.70;0.00%;587.11;6.23%;11.60;4.64;553.534;0.15%;553.534;0.15%;0.00;1.06;0.33
RC204_C15x;485.34;551.56;13.64%;551.56;13.64%;0.67;0.3;485.34;0.00%;485.34;0.00%;15.57;6.23;491.397;1.25%;496.363;2.27%;5.76;0.80;0.27
Avg;569.25;591.31;3.87%;597.14;4.90%;8.16;3.26;570.31;0.18%;574.71;0.96%;20.12;8.05;571.051;0.32%;576.534;1.28%;;1.16
C101_21x;1494.18;1513.91;1.32%;1562.77;4.59%;499.7;199.9;1494.18;0.00%;1538.74;2.98%;579.98;231.99;1495.224;0.07%;1535.626;2.77%;17.57;17.40;4.90
C102_21x;1447.86;1501.66;3.72%;1506.95;4.08%;537.57;215;1447.86;0.00%;1487.11;2.71%;572.03;228.81;1471.249;1.62%;1488.574;2.81%;11.80;28.40;6.04
C103_21x;1399.25;1447.98;3.48%;1463.34;4.58%;509.37;203.7;1399.25;0.00%;1425.80;1.90%;656.63;262.65;1421.678;1.60%;1444.495;3.23%;15.86;35.86;3.36
C104_21x;1400.52;1435.04;2.46%;1446.17;3.26%;405.19;162.1;1400.52;0.00%;1439.76;2.80%;540.97;216.39;1407.907;0.53%;1429.993;2.10%;16.24;41.37;4.40
C105_21x;1484.35;1522.97;2.60%;1541.60;3.86%;359;143.6;1493.69;0.63%;1521.13;2.48%;466.13;186.45;1484.349;0.00%;1510.847;1.79%;17.71;44.00;3.05
C106_21x;1429.75;1474.74;3.15%;1491.70;4.33%;361.26;144.5;1429.75;0.00%;1476.85;3.29%;536.93;214.77;1453.106;1.63%;1469.378;2.77%;12.72;41.26;7.18
C107_21x;1476.88;1499.81;1.55%;1513.36;2.47%;400.85;160.3;1485.70;0.60%;1513.18;2.46%;582.44;232.98;1476.884;0.00%;1493.166;1.10%;8.86;42.62;4.12
C108_21x;1417.00;1461.25;3.12%;1476.72;4.21%;483;193.2;1450.96;2.40%;1489.63;5.13%;523.87;209.55;1417.000;0.00%;1442.528;1.80%;13.26;38.48;2.94
C109_21x;1409.97;1447.36;2.65%;1456.90;3.33%;326.59;130.6;1409.97;0.00%;1455.93;3.26%;673.76;269.50;1419.545;0.68%;1437.793;1.97%;9.97;39.00;3.52
C201_21x;1204.16;1251.62;3.94%;1276.42;6.00%;422.74;169.1;1208.76;0.38%;1233.87;2.47%;545.02;218.01;1204.156;0.00%;1219.690;1.29%;9.60;18.35;2.51
C202_21x;1187.87;1228.61;3.43%;1260.08;6.08%;532.72;213.1;1187.87;0.00%;1232.74;3.78%;703.08;281.23;1189.895;0.17%;1206.255;1.55%;14.88;21.77;2.76
C203_21x;1168.41;1197.45;2.49%;1223.16;4.69%;356.27;142.5;1201.40;2.82%;1216.36;4.10%;767.58;307.03;1168.411;0.00%;1190.627;1.90%;10.65;22.10;5.10
C204_21x;1137.03;1178.14;3.62%;1191.92;4.83%;464.31;185.7;1161.07;2.11%;1181.40;3.90%;577.96;231.18;1137.025;0.00%;1164.803;2.44%;17.18;22.97;5.89
C205_21x;1197.95;1226.48;2.38%;1249.59;4.31%;460.15;184.1;1205.23;0.61%;1223.94;2.17%;664.39;265.76;1197.952;0.00%;1206.958;0.75%;5.88;24.66;5.16
C206_21x;1182.63;1202.52;1.68%;1222.94;3.41%;519.78;207.9;1182.63;0.00%;1198.54;1.35%;556.03;222.41;1183.116;0.04%;1191.705;0.77%;6.07;25.02;4.43
C207_21x;1168.39;1195.10;2.29%;1211.55;3.69%;262.84;105.1;1173.70;0.45%;1188.92;1.76%;562.88;225.15;1168.387;0.00%;1181.863;1.15%;11.52;24.24;5.19
C208_21x;1164.39;1193.01;2.46%;1221.40;4.90%;429.15;171.7;1169.69;0.45%;1188.85;2.10%;652.98;261.19;1164.393;0.00%;1176.965;1.08%;9.03;21.76;5.31
avg;1315.92;1351.63;2.71%;1371.56;4.23%;431.21;172.48;1323.66;0.59%;1353.69;2.87%;597.80;239.12;1321.193;0.40%;1340.663;1.88%;;29.96
R101_21x;1707.79;2164.26;26.73%;2187.39;28.08%;573.91;229.56;2179.75;27.64%;2306.91;35.08%;589.70;235.88;1707.792;0.00%;1722.522;0.86%;9.93;23.18;5.07
